Start Date,End Date,Campaign Name,Advert Name,Placement,Reach,Frequency,Impressions,Clicks,Unique Clicks,Click-through Rate (CTR),Unique Click-through Rate (uCTR),Amount Spent (EUR),Actions,People Taking Action,Page Likes,Impression Device,Destination
2015-04-18,2015-04-18,Anne & Zef,www.orkest.nl/concert/jeugdopera-anne-en-zef-12 - Website Conversions,News Feed on Mobile Devices,23,1,23,2,1,8.695652,4.347826,0.07,2,2,0,iPhone,No Breakdown
2015-04-18,2015-04-18,Anne & Zef,www.orkest.nl/concert/jeugdopera-anne-en-zef-12 - Website Conversions,Audience Network on Third-party Mobile Apps,181,1.458564,264,3,3,1.136364,1.657459,0.14,3,3,0,Other,No Breakdown
2015-04-18,2015-04-18,Anne & Zef,www.orkest.nl/concert/jeugdopera-anne-en-zef-12 - Website Conversions,Right Column Adverts on Desktop Computers,105,1.695238,178,1,1,0.561798,0.952381,0,1,1,0,Desktop,No Breakdown
2015-04-18,2015-04-18,Anne & Zef,www.orkest.nl/concert/jeugdopera-anne-en-zef-12 - Website Conversions,Right Column Adverts on Home Page for Desktop Computers,78,1.589744,124,1,1,0.806452,1.282051,0.02,1,1,0,Desktop,No Breakdown
2015-04-18,2015-04-18,Anne & Zef,www.orkest.nl/concert/jeugdopera-anne-en-zef-12 - Website Conversions,News Feed on Desktop Computers,13,1.076923,14,1,1,7.142857,7.692308,0.07,1,1,0,Desktop,No Breakdown
2015-04-18,2015-04-18,Anne & Zef,www.orkest.nl/concert/jeugdopera-anne-en-zef-12 - Website Conversions,News Feed on Mobile Devices,13,1,13,1,1,7.692308,7.692308,0.02,1,1,0,Android Smartphone,No Breakdown
2015-04-18,2015-04-18,Anne & Zef,www.orkest.nl/concert/jeugdopera-anne-en-zef-12 - Website Conversions,News Feed on Mobile Devices,9,1,9,0,0,0,0,0.02,0,0,0,iPad,No Breakdown
2015-04-17,2015-04-17,Anne & Zef,www.orkest.nl/concert/jeugdopera-anne-en-zef-12 - Website Conversions,News Feed on Mobile Devices,3,1,3,0,0,0,0,0,0,0,0,Android Tablet,No Breakdown
2015-04-17,2015-04-17,Anne & Zef,www.orkest.nl/concert/jeugdopera-anne-en-zef-12 - Website Conversions,Audience Network on Third-party Mobile Apps,133,1.360902,181,0,0,0,0,0.08,0,0,0,Other,No Breakdown
2015-04-17,2015-04-17,Anne & Zef,www.orkest.nl/concert/jeugdopera-anne-en-zef-12 - Website Conversions,Right Column Adverts on Home Page for Desktop Computers,143,1.853147,265,0,0,0,0,0.05,0,0,0,Desktop,No Breakdown
2015-04-17,2015-04-17,Anne & Zef,www.orkest.nl/concert/jeugdopera-anne-en-zef-12 - Website Conversions,Right Column Adverts on Desktop Computers,294,1.683673,495,0,0,0,0,0.01,0,0,0,Desktop,No Breakdown
2015-04-17,2015-04-17,Anne & Zef,www.orkest.nl/concert/jeugdopera-anne-en-zef-12 - Website Conversions,News Feed on Mobile Devices,10,1,10,1,1,10,10,0.03,1,1,0,iPad,No Breakdown
2015-04-17,2015-04-17,Anne & Zef,www.orkest.nl/concert/jeugdopera-anne-en-zef-12 - Website Conversions,News Feed on Desktop Computers,27,1,27,0,0,0,0,0.08,0,0,0,Desktop,No Breakdown
2015-04-17,2015-04-17,Anne & Zef,www.orkest.nl/concert/jeugdopera-anne-en-zef-12 - Website Conversions,News Feed on Mobile Devices,25,1.04,26,2,2,7.692308,8,0.07,1,1,0,iPhone,No Breakdown
2015-04-17,2015-04-17,Anne & Zef,www.orkest.nl/concert/jeugdopera-anne-en-zef-12 - Website Conversions,News Feed on Mobile Devices,1,1,1,0,0,0,0,0,0,0,0,Other,No Breakdown
2015-04-17,2015-04-17,Anne & Zef,www.orkest.nl/concert/jeugdopera-anne-en-zef-12 - Website Conversions,News Feed on Mobile Devices,20,1.1,22,1,1,4.545455,5,0.06,0,0,0,Android Smartphone,No Breakdown
2015-04-16,2015-04-16,Anne & Zef,www.orkest.nl/concert/jeugdopera-anne-en-zef-12 - Website Conversions,News Feed on Mobile Devices,12,1,12,1,1,8.333333,8.333333,0.05,0,0,0,iPad,No Breakdown
2015-04-16,2015-04-16,Anne & Zef,www.orkest.nl/concert/jeugdopera-anne-en-zef-12 - Website Conversions,News Feed on Desktop Computers,51,1.039216,53,1,1,1.886792,1.960784,0.21,1,1,0,Desktop,No Breakdown
2015-04-16,2015-04-16,Anne & Zef,www.orkest.nl/concert/jeugdopera-anne-en-zef-12 - Website Conversions,Audience Network on Third-party Mobile Apps,163,1.386503,226,3,3,1.327434,1.840491,0.08,3,3,0,Other,No Breakdown
2015-04-16,2015-04-16,Anne & Zef,www.orkest.nl/concert/jeugdopera-anne-en-zef-12 - Website Conversions,Right Column Adverts on Desktop Computers,299,1.809365,541,0,0,0,0,0.01,0,0,0,Desktop,No Breakdown
2015-04-16,2015-04-16,Anne & Zef,www.orkest.nl/concert/jeugdopera-anne-en-zef-12 - Website Conversions,Right Column Adverts on Home Page for Desktop Computers,142,1.978873,281,2,2,0.711744,1.408451,0.06,2,2,0,Desktop,No Breakdown
2015-04-16,2015-04-16,Anne & Zef,www.orkest.nl/concert/jeugdopera-anne-en-zef-12 - Website Conversions,News Feed on Mobile Devices,62,1.016129,63,2,3,3.174603,4.83871,0.18,2,2,0,iPhone,No Breakdown
2015-04-16,2015-04-16,Anne & Zef,www.orkest.nl/concert/jeugdopera-anne-en-zef-12 - Website Conversions,News Feed on Mobile Devices,25,1.04,26,3,2,11.538462,8,0.06,0,0,0,Android Smartphone,No Breakdown
2015-04-16,2015-04-16,Anne & Zef,www.orkest.nl/concert/jeugdopera-anne-en-zef-12 - Website Conversions,News Feed on Mobile Devices,10,1,10,0,0,0,0,0.04,0,0,0,Android Smartphone,No Breakdown
2015-04-16,2015-04-16,Anne & Zef,www.orkest.nl/concert/jeugdopera-anne-en-zef-12 - Website Conversions,Audience Network on Third-party Mobile Apps,2,1,2,0,0,0,0,0,0,0,0,Other,No Breakdown
2015-04-16,2015-04-16,Anne & Zef,www.orkest.nl/concert/jeugdopera-anne-en-zef-12 - Website Conversions,News Feed on Mobile Devices,6,1,6,0,0,0,0,0.03,0,0,0,iPad,No Breakdown
2015-04-16,2015-04-16,Anne & Zef,www.orkest.nl/concert/jeugdopera-anne-en-zef-12 - Website Conversions,Right Column Adverts on Home Page for Desktop Computers,16,2.25,36,1,1,2.777778,6.25,0.04,1,1,0,Desktop,No Breakdown
2015-04-16,2015-04-16,Anne & Zef,www.orkest.nl/concert/jeugdopera-anne-en-zef-12 - Website Conversions,News Feed on Mobile Devices,1,1,1,0,0,0,0,0,0,0,0,iPod,No Breakdown
2015-04-16,2015-04-16,Anne & Zef,www.orkest.nl/concert/jeugdopera-anne-en-zef-12 - Website Conversions,News Feed on Mobile Devices,29,1.068966,31,0,0,0,0,0.15,0,0,0,iPhone,No Breakdown
2015-04-16,2015-04-16,Anne & Zef,www.orkest.nl/concert/jeugdopera-anne-en-zef-12 - Website Conversions,News Feed on Desktop Computers,20,1.1,22,1,1,4.545455,5,0.12,1,1,0,Desktop,No Breakdown
2015-04-16,2015-04-16,Anne & Zef,www.orkest.nl/concert/jeugdopera-anne-en-zef-12 - Website Conversions,News Feed on Mobile Devices,1,1,1,0,0,0,0,0,0,0,0,Android Tablet,No Breakdown
